nume,jud,pe_lista,"06_21 LP","06_21 LS","06_21 UM","06_21 LT","07_21 LP","07_21 LS","07_21 UM","07_21 LT"
CIURULEASA,AB,596,24,9,0,33,249,42,12,303
CÎLNIC,AB,1127,54,2,0,56,286,24,0,310
DEAL,AB,311,33,9,0,42,148,39,0,187
"CRĂCIUNELU DE JOS",AB,1730,45,10,0,55,243,22,0,265
CRICĂU,AB,1106,53,4,0,57,206,19,1,226
CRAIVA,AB,297,20,1,0,21,97,12,0,109
TIBRU,AB,324,10,1,0,11,82,8,0,90
CUT,AB,1062,30,1,0,31,283,20,0,303
"DAIA ROMÂNĂ",AB,2571,82,12,0,94,601,36,0,637
DOŞTAT,AB,402,14,2,0,16,82,23,0,105
BOZ,AB,368,17,4,0,21,63,8,0,71
FĂRĂU,AB,478,23,9,0,32,143,25,0,168
HERIA,AB,219,13,2,0,15,85,13,0,98
SÎNBENEDIC,AB,200,3,5,0,8,29,13,0,42
MEDVEŞ,AB,147,2,3,0,5,12,6,0,18
ŞILEA,AB,252,10,0,0,10,52,9,0,61
"GALDA DE JOS",AB,1566,53,5,0,58,326,27,0,353
BENIC,AB,431,10,2,0,12,53,15,0,68
CETEA,AB,360,8,7,0,15,49,24,0,73
"GALDA DE SUS",AB,342,21,10,0,31,76,24,0,100
MESENTEA,AB,198,6,6,0,12,47,20,0,67
OIEJDEA,AB,717,11,3,0,14,65,4,0,69
"POIANA GALDEI",AB,129,4,0,0,4,19,4,0,23
GÎRBOVA,AB,1178,38,5,0,43,220,16,0,236
CĂRPINIŞ,AB,206,14,10,0,24,52,23,0,75
RECIU,AB,267,19,5,0,24,86,20,0,106
"GÎRDA DE SUS",AB,829,39,4,0,43,199,40,1,240
BIHARIA,AB,131,1,0,0,1,21,7,0,28
GHEŢARI,AB,426,1,0,0,1,109,8,0,117
HOPÎRTA,AB,231,18,5,0,23,81,11,0,92
SILIVAŞ,AB,219,12,2,0,14,46,5,0,51
ŞPĂLNACA,AB,160,12,7,0,19,39,16,0,55
TURDAŞ,AB,142,8,7,0,15,39,23,0,62
"VAMA SEACĂ",AB,149,7,4,0,11,31,18,0,49
HOREA,AB,628,20,2,0,22,192,16,0,208
DÎRLEŞTI,AB,391,29,4,8,41,246,13,8,267
GIURGIUŢ,AB,123,0,2,0,2,46,9,0,55
MĂTIŞEŞTI,AB,356,8,1,0,9,163,7,0,170
PĂTRUŞEŞTI,AB,133,9,4,0,13,65,12,0,77
PRELUCA,AB,61,11,3,0,14,18,5,0,23
IGHIU,AB,1154,87,8,0,95,300,41,0,341
"BUCERDEA VINOASĂ",AB,753,25,5,0,30,195,23,0,218
IGHIEL,AB,821,58,2,0,60,328,12,0,340
ŞARD,AB,2001,51,10,0,61,272,35,0,307
ŢELNA,AB,886,25,0,0,25,236,6,0,242
ÎNTREGALDE,AB,234,6,0,0,6,26,6,0,32
"DEALU GEOAGIULUI",AB,87,5,2,0,7,8,5,0,13
GHIONCANI,AB,58,1,4,0,5,8,8,0,16
NECRILEŞTI,AB,145,5,3,0,8,37,5,0,42
JIDVEI,AB,1098,14,1,0,15,90,11,0,101
BĂLCACIU,AB,1107,19,2,0,21,81,12,0,93
"CĂPÎLNA DE JOS",AB,648,30,1,0,31,100,9,0,109
FEISA,AB,659,24,6,0,30,131,9,0,140
VESEUŞ,AB,750,17,2,0,19,79,5,0,84
LIVEZILE,AB,597,43,11,0,54,188,21,16,225
"POIANA AIUDULUI",AB,276,21,1,0,22,113,18,10,141
IZVOARELE,AB,106,30,27,0,57,59,41,10,110
VĂLIŞOARA,AB,116,5,6,0,11,39,24,0,63
"LOPADEA NOUĂ",AB,820,4,2,0,6,54,6,0,60
ASINIP,AB,87,2,1,0,3,28,26,0,54
BĂGĂU,AB,438,22,1,0,23,91,16,0,107
BEŢA,AB,312,3,3,0,6,7,4,0,11
CIUGUZEL,AB,549,25,10,0,35,192,26,0,218
ODVEREM,AB,46,3,7,0,10,15,13,0,28
"LUNCA MUREŞULUI",AB,1682,28,8,0,36,195,18,0,213
"GURA ARIEŞULUI",AB,388,39,2,0,41,96,16,0,112
LUPŞA,AB,692,40,7,0,47,225,30,0,255
HĂDĂRĂU,AB,313,8,8,0,16,83,25,0,108
"VALEA LUPŞII",AB,734,26,5,0,31,163,19,0,182
MUŞCA,AB,960,38,2,0,40,203,16,0,219
"LUNCA AMPOIŢEI",AB,212,4,5,0,9,48,11,0,59
"PRESACA AMPOIULUI",AB,294,12,0,0,12,91,14,0,105
METEŞ,AB,532,23,9,0,32,164,22,0,186
AMPOIŢA,AB,588,24,5,0,29,162,26,0,188
TĂUŢI,AB,545,11,1,0,12,95,11,1,107
"POIANA AMPOIULUI",AB,220,14,6,0,20,58,16,0,74
MIHALŢ,AB,1861,49,6,0,55,320,28,0,348
CISTEI,AB,466,14,1,0,15,72,15,0,87
OBREJA,AB,470,15,9,0,24,72,18,0,90
MIRĂSLĂU,AB,718,20,3,0,23,122,10,0,132
CICĂU,AB,104,2,0,0,2,17,10,0,27
DECEA,AB,635,10,4,0,14,90,15,0,105
"LOPADEA VECHE",AB,229,8,1,0,9,51,12,0,63
ORMENIŞ,AB,65,7,7,0,14,20,14,0,34
MOGOŞ,AB,512,15,3,0,18,107,21,0,128
BUTEŞTI,AB,59,4,0,0,4,12,7,0,19
"VALEA BARNII",AB,148,5,5,0,10,41,18,0,59
NOŞLAC,AB,977,26,10,0,36,160,27,0,187
GĂBUD,AB,211,2,2,0,4,47,17,0,64
"STÂNA DE MUREŞ",AB,317,11,4,0,15,56,21,0,77
OCOLIŞ,AB,268,11,3,0,14,54,12,0,66
"LUNCA LARGĂ",AB,51,5,2,0,7,18,7,0,25
RUNC,AB,123,1,0,0,1,26,4,0,30
VIDOLM,AB,57,3,0,0,3,9,11,0,20
OHABA,AB,361,18,9,0,27,134,26,10,170
COLIBI,AB,30,3,1,0,4,7,6,0,13
SECĂŞEL,AB,157,5,6,0,11,30,23,0,53
"PIANU DE SUS",AB,1381,39,8,0,47,346,27,0,373
"PIANU DE JOS",AB,1100,23,6,0,29,155,23,0,178
PLAIURI,AB,41,0,0,0,0,11,8,0,19
PURCĂREŢI,AB,215,10,2,0,12,31,3,0,34
STRUNGARI,AB,202,36,7,0,43,113,18,0,131
"POIANA VADULUI",AB,872,45,3,0,48,304,19,2,325
PONOR,AB,347,21,2,5,28,154,30,8,192
GEOGEL,AB,188,9,7,0,16,50,34,0,84
"POŞAGA DE JOS",AB,366,16,3,0,19,87,12,0,99
LUNCA,AB,122,2,4,0,6,15,7,0,22
ORĂŞTI,AB,107,4,1,0,5,26,5,0,31
"POŞAGA DE SUS",AB,145,1,0,0,1,23,6,0,29
SAGAGEA,AB,175,6,3,0,9,17,4,0,21
RĂDEŞTI,AB,575,29,7,0,36,133,20,0,153
LEORINŢ,AB,252,6,0,0,6,38,11,0,49
MEŞCREAC,AB,251,4,0,0,4,43,11,0,54
RIMETEA,AB,472,16,6,0,22,41,20,0,61
COLŢEŞTI,AB,441,3,2,0,5,13,3,0,16
RÎMEŢ,AB,178,11,5,0,16,41,27,7,75
BRĂDEŞTI,AB,93,10,11,0,21,37,31,0,68
"VALEA INZELULUI",AB,74,5,2,0,7,26,11,0,37
"VALEA MĂNĂSTIRII",AB,138,52,90,0,142,71,149,8,228
UNGUREI,AB,266,6,3,0,9,30,13,0,43
"ROŞIA DE SECAŞ",AB,582,26,3,0,29,131,16,0,147
TĂU,AB,369,21,7,0,28,80,18,0,98
CĂRPINIŞ,AB,1303,63,7,0,70,326,12,0,338
VÎRTOP,AB,182,4,2,0,6,51,12,0,63
"ROŞIA MONTANĂ",AB,700,17,5,0,22,127,16,0,143
CORNA,AB,133,9,0,0,9,35,9,0,44
"SĂLCIUA DE JOS",AB,704,28,6,0,34,187,25,1,213
"SĂLCIUA DE SUS",AB,591,15,0,0,15,147,9,0,156
SĂLIŞTEA,AB,1041,55,6,0,61,346,24,0,370
MĂRGINENI,AB,49,13,5,0,18,21,13,0,34
SĂLIŞTEA-DEAL,AB,236,10,3,0,13,121,5,0,126
TĂRTĂRIA,AB,570,11,1,0,12,88,22,0,110
CĂPÎLNA,AB,698,71,8,0,79,194,12,0,206
SĂSCIORI,AB,1338,35,4,0,39,199,28,0,227
LAZ,AB,349,18,4,0,22,91,14,0,105
SEBEŞEL,AB,1026,45,11,0,56,183,34,0,217
LOMAN,AB,677,26,2,0,28,139,11,0,150
RĂCHITA,AB,728,15,0,0,15,251,15,0,266
SCĂRIŞOARA,AB,596,13,1,0,14,163,13,0,176
NEGEŞTI,AB,154,1,0,0,1,41,5,0,46
RUNC,AB,144,3,4,0,7,42,4,0,46
SFOARTEA,AB,68,1,5,0,6,14,7,0,21
ŞTIULEŢI,AB,118,8,0,0,8,38,10,0,48
LĂZEŞTI,AB,212,29,1,0,30,86,31,0,117
SÎNCEL,AB,1318,28,5,0,33,209,19,0,228
ICLOD,AB,309,5,6,0,11,53,12,0,65
PĂNADE,AB,527,24,3,0,27,98,11,0,109
COŞLARIU,AB,357,12,5,0,17,54,19,0,73
TOTOI,AB,437,21,7,0,28,103,32,0,135
SÎNTIMBRU,AB,1177,55,6,0,61,208,24,0,232
DUMITRA,AB,70,4,3,0,7,13,10,0,23
GALTIU,AB,407,18,9,0,27,70,21,1,92
PELEŞ,AB,358,9,5,0,14,70,8,0,78
POIANA,AB,133,6,1,0,7,30,10,0,40
SOHODOL,AB,815,24,3,0,27,166,7,0,173
LAZURI,AB,185,4,4,0,8,44,7,0,51
STREMŢ,AB,1160,57,13,0,70,238,46,3,287
"GEOAGIU DE SUS",AB,643,24,6,0,30,121,21,0,142
GEOMAL,AB,271,8,8,0,16,97,25,0,122
ŞIBOT,AB,1174,19,1,0,20,210,44,0,254
"BALOMIRU DE CÎMP",AB,527,28,7,0,35,114,22,0,136
BĂCĂINŢI,AB,227,7,2,0,9,18,6,0,24
SĂRĂCSĂU,AB,161,7,2,0,9,29,4,0,33
"LUNCA TÎRNAVEI",AB,343,3,3,0,6,48,7,0,55
ŞONA,AB,1052,18,2,0,20,116,9,0,125
ALECUŞ,AB,91,3,11,0,14,20,16,0,36
BIIA,AB,969,14,9,0,23,154,13,0,167
SÎNMICLĂUŞ,AB,1154,9,3,0,12,42,4,0,46
ŞPRING,AB,579,21,5,0,26,203,35,2,240
CUNŢA,AB,474,20,9,0,29,131,18,0,149
DRAŞOV,AB,434,15,5,0,20,114,20,0,134
VINGARD,AB,574,17,5,0,22,104,19,0,123
DOBRA,AB,451,37,1,0,38,94,10,0,104
MĂRTINIE,AB,450,8,3,0,11,92,9,0,101
ŞUGAG,AB,1430,37,16,0,53,250,46,0,296
UNIREA,AB,2953,77,18,0,95,337,38,0,375
"CIUGUDU DE JOS",AB,281,14,1,0,15,53,4,0,57
"CIUGUDU DE SUS",AB,118,4,5,0,9,28,17,0,45
DUMBRAVA,AB,278,39,19,31,89,82,32,31,145
INOC,AB,163,7,9,0,16,32,15,0,47
MĂHĂCENI,AB,229,15,4,0,19,53,28,1,82
"VADU MOŢILOR",AB,1139,42,8,0,50,275,33,0,308
"VALEA LUNGĂ",AB,1553,42,2,0,44,163,10,2,175
FĂGET,AB,21,1,2,0,3,8,10,0,18
GLOGOVEŢ,AB,135,8,7,0,15,31,14,0,45
LODROMAN,AB,156,16,3,0,19,31,5,0,36
LUNCA,AB,374,5,10,0,15,43,20,0,63
TĂUNI,AB,241,6,1,0,7,40,13,0,53
VIDRA,AB,308,9,4,0,13,79,12,0,91
GOIEŞTI,AB,293,17,7,0,24,56,12,0,68
PONOREL,AB,733,20,0,0,20,151,9,0,160
VURPĂR,AB,860,21,1,0,22,128,11,0,139
"VINŢU DE JOS",AB,2975,153,15,0,168,631,49,1,681
INURI,AB,155,1,2,0,3,12,9,0,21
MERETEU,AB,171,2,4,0,6,51,10,0,61
"VALEA VINŢULUI",AB,335,3,4,0,7,24,6,0,30
PITEŞTI,AG,146478,9061,498,19,9578,24568,1553,79,26200
CÂMPULUNG,AG,30746,1338,183,10,1531,4517,473,38,5028
"CURTEA DE ARGEŞ",AG,27423,1024,132,51,1207,4262,329,51,4642
