nume,jud,pe_lista,"06_21 LP","06_21 LS","06_21 UM","06_21 LT","07_21 LP","07_21 LS","07_21 UM","07_21 LT"
NADĂŞU,CJ,187,10,6,0,16,41,16,0,57
"IZVORU CRIŞULUI",CJ,770,5,1,0,6,72,5,0,77
ŞAULA,CJ,320,1,2,0,3,28,7,0,35
"JICHIŞU DE JOS",CJ,355,18,4,0,22,106,20,0,126
CODOR,CJ,336,17,2,0,19,92,14,0,106
"JICHIŞU DE SUS",CJ,190,2,10,0,12,27,15,0,42
TĂRPIU,CJ,89,1,7,0,8,20,11,0,31
ŞIGĂU,CJ,21,3,12,0,15,8,22,0,30
"JUCU DE SUS",CJ,1440,41,4,0,45,151,39,0,190
"JUCU DE MIJLOC",CJ,940,7,0,0,7,111,19,0,130
GĂDĂLIN,CJ,523,17,5,0,22,94,39,2,135
VIŞEA,CJ,464,7,3,0,10,51,23,0,74
JUC-HERGHELIE,CJ,364,13,0,0,13,52,6,0,58
LUNA,CJ,2149,47,7,0,54,225,31,0,256
LUNCANI,CJ,1265,31,3,0,34,149,12,0,161
GLIGOREŞTI,CJ,467,16,6,0,22,65,13,0,78
"MUNTELE RECE",CJ,448,12,2,0,14,62,24,0,86
MĂGURI-RĂCĂTĂU,CJ,710,16,1,0,17,163,19,0,182
MĂGURI,CJ,741,12,5,0,17,118,8,0,126
MĂNĂSTIRENI,CJ,747,22,8,0,30,144,36,0,180
BEDECIU,CJ,442,16,1,0,17,125,16,0,141
SCRIND-FRĂSINET,CJ,151,8,4,0,12,43,21,0,64
BUTENI,CJ,181,6,10,0,16,29,27,0,56
MĂRGĂU,CJ,360,8,4,0,12,108,25,0,133
RĂCHIŢELE,CJ,604,12,4,0,16,106,17,0,123
MĂRIŞEL,CJ,1278,21,4,0,25,263,47,0,310
MICA,CJ,577,21,7,19,47,103,16,19,138
MĂNĂSTIREA,CJ,590,31,5,0,36,132,19,2,153
NIREŞ,CJ,900,1,0,0,1,82,0,0,82
SÎNMĂRGHITA,CJ,885,15,2,0,17,86,8,0,94
"MIHAI VITEAZU",CJ,3797,67,12,0,79,329,53,0,382
CHEIA,CJ,467,6,3,0,9,39,6,0,45
CORNEŞTI,CJ,636,23,1,0,24,67,7,0,74
"MINTIU GHERLII",CJ,1272,40,3,0,43,226,27,0,253
BUNEŞTI,CJ,757,20,10,0,30,122,34,0,156
NIMA,CJ,592,17,2,0,19,105,12,0,117
PĂDURENII,CJ,79,6,6,0,12,18,13,0,31
PETREŞTI,CJ,206,12,2,0,14,34,10,0,44
SALATIU,CJ,225,9,1,0,10,27,5,0,32
MOCIU,CJ,1319,14,8,0,22,145,42,0,187
CHESĂU,CJ,274,13,1,0,14,49,6,0,55
CRIŞENI,CJ,207,6,6,0,12,39,12,0,51
"GHIRIŞU ROMÂN",CJ,271,6,4,0,10,32,9,0,41
"ZORENII DE VALE",CJ,252,2,3,0,5,25,13,0,38
BOTENI,CJ,177,4,4,0,8,26,13,0,39
ROŞIENI,CJ,144,3,0,0,3,23,10,0,33
MOLDOVENEŞTI,CJ,1000,10,1,0,11,53,13,0,66
PLĂIEŞTI,CJ,519,6,0,0,6,13,6,0,19
BĂDENI,CJ,570,8,4,0,12,26,8,0,34
STEJERIŞ,CJ,157,1,1,0,2,11,5,0,16
PIETROASA,CJ,110,2,0,0,2,9,5,0,14
PODENI,CJ,369,10,5,0,15,61,39,0,100
NEGRENI,CJ,1331,71,4,0,75,361,35,0,396
BUCEA,CJ,586,44,8,0,52,171,31,0,202
PRELUCELE,CJ,94,3,3,0,6,14,6,0,20
SĂRATA,CJ,244,3,4,0,7,36,16,0,52
PANTICEU,CJ,521,10,4,0,14,86,28,0,114
"CUBLEŞU SOMEŞAN",CJ,307,11,11,0,22,42,37,0,79
DÎRJA,CJ,170,4,3,0,7,15,13,0,28
CĂTĂLINA,CJ,54,0,5,0,5,7,19,0,26
PĂLATCA,CJ,635,16,4,0,20,121,30,0,151
SAVA,CJ,261,8,9,0,17,30,23,0,53
PLAIURI,CJ,102,5,5,0,10,29,26,0,55
"PETREŞTII DE MIJLOC",CJ,111,6,3,0,9,19,12,0,31
DELENI,CJ,181,9,5,0,14,38,29,0,67
CRĂEŞTI,CJ,167,7,1,0,8,32,3,0,35
"PETREŞTII DE JOS",CJ,509,7,2,0,9,54,19,0,73
LIVADA,CJ,161,5,5,0,10,18,13,0,31
"PETREŞTII DE SUS",CJ,75,6,5,0,11,14,13,0,27
PLOSCOŞ,CJ,337,6,5,0,11,29,17,0,46
"VALEA FLORILOR",CJ,224,8,4,0,12,31,13,0,44
POIENI,CJ,955,32,2,0,34,159,35,0,194
BOLOGA,CJ,517,15,4,0,19,137,23,0,160
MORLACA,CJ,616,10,10,0,20,121,37,0,158
HODIŞU,CJ,306,10,12,0,22,98,27,0,125
"VALEA DRĂGANULUI",CJ,1301,38,16,0,54,203,44,0,247
TRANIŞU,CJ,288,2,2,0,4,26,6,0,32
"LUNCA VIŞAGULUI",CJ,186,2,4,0,6,23,14,0,37
RECEA-CRISTUR,CJ,549,22,3,0,25,111,20,0,131
ELCIU,CJ,83,9,0,0,9,28,17,0,45
PUSTUŢA,CJ,74,9,5,0,14,25,15,0,40
OSOI,CJ,88,14,6,0,20,32,18,0,50
CIUBĂNCUŢA,CJ,124,12,5,0,17,29,14,0,43
CIUBANCA,CJ,80,6,2,0,8,24,17,0,41
RÎŞCA,CJ,780,18,6,0,24,105,15,0,120
"DEALU MARE",CJ,324,20,1,0,21,109,19,0,128
MĂRCEŞTI,CJ,156,9,5,0,14,34,7,0,41
SĂCUIEU,CJ,465,15,11,0,26,65,16,0,81
ROGOJEL,CJ,530,8,4,0,12,94,10,0,104
VIŞAGU,CJ,222,0,4,0,4,48,12,0,60
SĂNDULEŞTI,CJ,595,23,7,0,30,84,18,0,102
COPĂCENI,CJ,1131,25,5,0,30,142,18,0,160
SĂVĂDISLA,CJ,863,3,7,0,10,36,30,0,66
LITA,CJ,253,10,3,0,13,41,18,0,59
VĂLIŞOARA,CJ,47,0,3,0,3,8,14,0,22
VLAHA,CJ,754,11,8,0,19,42,15,0,57
HĂŞDATE,CJ,398,4,4,0,8,60,21,0,81
FINIŞEL,CJ,672,52,2,0,54,164,19,0,183
LITENI,CJ,326,4,6,0,10,18,12,0,30
STOLNA,CJ,198,15,9,0,24,58,19,0,77
SÂNCRAIU,CJ,931,58,17,0,75,280,35,2,317
ALUNIŞU,CJ,90,4,3,0,7,15,8,0,23
DOMOŞU,CJ,295,8,7,0,15,76,13,0,89
SÂNMĂRTIN,CJ,198,5,5,0,10,50,18,0,68
CEABA,CJ,186,18,6,0,24,88,29,0,117
CUTCA,CJ,329,20,5,0,25,238,21,0,259
SÎMBOIENI,CJ,128,19,6,0,25,84,16,0,100
TÎRGUŞOR,CJ,98,9,20,0,29,53,40,0,93
MĂHAL,CJ,72,18,8,0,26,49,19,0,68
"DIVICIORII MARI",CJ,125,8,12,0,20,77,37,0,114
"DIVICIORII MICI",CJ,52,13,9,0,22,32,23,0,55
SIC,CJ,1995,18,3,0,21,160,12,0,172
SÎNPAUL,CJ,699,25,6,0,31,109,30,0,139
ŞARDU,CJ,344,24,11,0,35,93,30,0,123
BERINDU,CJ,359,13,4,0,17,56,29,0,85
MIHĂIEŞTI,CJ,215,9,3,0,12,37,11,0,48
"TOPA MICĂ",CJ,190,5,7,0,12,27,21,0,48
SUATU,CJ,1069,16,2,0,18,71,14,0,85
ARUNCUTA,CJ,277,9,3,0,12,39,16,0,55
"TRITENII DE JOS",CJ,1250,18,1,0,19,151,11,0,162
"TRITENII DE SUS",CJ,874,20,0,0,20,165,18,0,183
COLONIA,CJ,398,6,2,0,8,41,6,0,47
PĂDURENI,CJ,986,22,3,0,25,92,12,0,104
TRITENII-HOTAR,CJ,243,6,5,0,11,23,8,0,31
CLAPA,CJ,71,2,6,0,8,9,10,0,19
TURENI,CJ,790,8,9,0,17,83,29,0,112
"CEANU MIC",CJ,330,6,4,0,10,40,16,0,56
COMŞEŞTI,CJ,185,4,3,0,7,22,9,0,31
MĂRTINEŞTI,CJ,304,5,4,0,9,31,10,0,41
MICEŞTI,CJ,218,8,13,0,21,33,36,0,69
ŢAGA,CJ,618,12,5,0,17,81,19,0,100
SÎNTIOANA,CJ,458,4,3,0,7,52,8,0,60
NĂSAL,CJ,259,3,6,0,9,39,23,0,62
SÎNTEJUDE,CJ,197,1,6,0,7,23,23,0,46
UNGURAŞ,CJ,1510,26,5,0,31,250,28,0,278
BATIN,CJ,559,8,5,0,13,103,17,0,120
"VALEA UNGURAŞULUI",CJ,168,4,1,0,5,33,15,0,48
VAD,CJ,267,14,5,0,19,52,20,0,72
CETAN,CJ,477,25,5,0,30,140,31,0,171
"BOGATA DE JOS",CJ,197,12,1,0,13,57,11,0,68
"CURTUIUŞU DEJULUI",CJ,137,22,2,0,24,55,18,0,73
"BOGATA DE SUS",CJ,203,6,4,0,10,66,14,0,80
"VALEA GROŞILOR",CJ,205,15,13,0,28,54,43,0,97
CALNA,CJ,110,15,2,0,17,45,13,0,58
"VALEA IERII",CJ,801,26,12,0,38,170,36,0,206
VIIŞOARA,CJ,4025,86,11,0,97,472,53,1,526
URCA,CJ,808,19,2,0,21,117,8,0,125
VULTURENI,CJ,318,12,2,0,14,64,20,0,84
BĂBUŢIU,CJ,179,22,3,0,25,48,12,0,60
BĂDEŞTI,CJ,96,7,3,0,10,22,8,0,30
CHIDEA,CJ,95,4,2,0,6,13,8,0,21
FĂURENI,CJ,144,6,10,0,16,31,29,0,60
ŞOIMENI,CJ,266,13,7,0,20,62,33,0,95
CĂLĂRAŞI,CL,62645,3000,257,38,3295,8796,570,111,9477
OLTENIŢA,CL,23197,1357,78,56,1491,4220,211,57,4488
BUDEŞTI,CL,3793,104,1,0,105,552,55,0,607
APROZI,CL,812,34,20,0,54,157,48,0,205
BUCIUMENI,CL,517,27,15,0,42,167,42,0,209
GRUIU,CL,602,28,15,0,43,120,58,0,178
FUNDULEA,CL,4736,208,48,0,256,1035,233,0,1268
GOSTILELE,CL,534,31,17,0,48,117,53,0,170
LEHLIU-GARĂ,CL,3155,196,29,0,225,722,101,12,835
RĂZVANI,CL,1824,106,11,0,117,453,37,0,490
BUZOENI,CL,375,25,12,0,37,135,33,0,168
"NICOLAE BĂLCESCU",CL,1022,44,8,0,52,184,32,0,216
"ALEXANDRU ODOBESCU",CL,912,32,7,0,39,170,37,0,207
GĂLĂŢUI,CL,257,27,12,0,39,87,40,0,127
BELCIUGATELE,CL,1286,82,29,0,111,300,120,0,420
MĂRIUŢA,CL,407,42,21,0,63,92,62,0,154
BORCEA,CL,6826,296,47,9,352,1359,149,9,1517
CĂSCIOARELE,CL,1488,85,15,0,100,359,48,0,407
CHIRNOGI,CL,6011,210,13,0,223,1076,73,0,1149
CHISELET,CL,2621,175,32,0,207,848,133,0,981
CIOCĂNEŞTI,CL,3370,70,34,40,144,312,95,40,447
CRIVĂŢ,CL,1681,61,14,0,75,449,69,38,556
CURCANI,CL,4203,276,33,0,309,1191,139,0,1330
CEACU,CL,1071,37,4,0,41,155,27,0,182
"CUZA VODĂ",CL,1682,46,13,0,59,219,50,0,269
"CĂLĂRAŞII VECHI",CL,547,26,7,0,33,95,23,1,119
DICHISENI,CL,748,19,6,0,25,63,17,0,80
COSLOGENI,CL,710,26,6,0,32,70,8,0,78
"DOR MĂRUNT",CL,2852,109,30,51,190,694,134,69,897
OGORU,CL,277,14,1,0,15,63,13,0,76
ÎNFRĂŢIREA,CL,266,15,6,0,21,66,21,0,87
PELINU,CL,81,3,4,0,7,15,7,1,23
DÎLGA-GARĂ,CL,1063,23,3,11,37,189,21,12,222
DÎLGA,CL,612,19,8,9,36,78,20,10,108
DOROBANŢU,CL,1209,27,11,0,38,161,37,0,198
VĂRĂŞTI,CL,782,19,10,0,29,82,25,0,107
BOŞNEAGU,CL,314,15,7,0,22,54,18,0,72
DRAGALINA,CL,4884,100,19,0,119,498,51,1,550
"DRAJNA NOUĂ",CL,1073,42,7,0,49,223,29,0,252
"CONSTANTIN BRÂNCOVEANU",CL,766,23,9,0,32,104,25,0,129
"DRAGOŞ VODĂ",CL,2062,92,20,17,129,526,74,35,635
SOCOALELE,CL,183,17,6,8,31,44,25,8,77
FRĂSINET,CL,878,106,17,0,123,304,59,0,363
LUPTĂTORI,CL,455,32,18,0,50,151,69,0,220
PASĂREA,CL,598,68,29,3,100,217,95,3,315
FRUMUŞANI,CL,1892,107,55,4,166,488,171,4,663
PĂDURIŞU,CL,503,77,51,0,128,188,145,0,333
ORĂŞTI,CL,791,35,44,0,79,230,94,0,324
FUNDENI,CL,3690,181,51,0,232,1247,199,0,1446
GĂLBINAŞI,CL,2698,139,28,0,167,707,127,0,834
GRĂDIŞTEA,CL,1775,97,12,0,109,280,41,0,321
RASA,CL,1030,18,5,0,23,88,22,0,110
CUNEŞTI,CL,722,10,7,0,17,67,17,0,84
BOGATA,CL,479,16,3,1,20,82,17,1,100
GURBĂNEŞTI,CL,449,66,21,0,87,137,44,0,181
COŢOFANCA,CL,310,32,21,0,53,87,46,0,133
"VALEA PRESNEI",CL,148,25,38,4,67,49,58,4,111
ILEANA,CL,785,12,7,0,19,86,36,0,122
FLORICA,CL,511,24,5,0,29,66,25,0,91
ŞTEFĂNEŞTI,CL,619,56,18,0,74,207,70,0,277
ARŢARI,CL,497,15,8,0,23,48,24,0,72
INDEPENDENŢA,CL,1796,62,1,0,63,300,16,0,316
VIŞINII,CL,434,15,6,0,21,79,23,0,102
POTCOAVA,CL,662,22,10,0,32,96,42,0,138
JEGĂLIA,CL,1595,50,6,0,56,272,25,10,307
GÎLDĂU,CL,1119,102,15,0,117,350,46,5,401
IEZERU,CL,778,26,6,0,32,120,18,3,141
LEHLIU,CL,1411,45,9,0,54,268,49,0,317
SĂPUNARI,CL,671,37,9,0,46,142,26,0,168
LUICA,CL,1281,74,6,0,80,414,69,0,483
"VALEA STÎNII",CL,436,23,4,0,27,119,60,0,179
NUCETU,CL,521,25,12,0,37,96,33,0,129
LUPŞANU,CL,504,32,9,0,41,142,29,0,171
"RADU VODĂ",CL,968,48,10,0,58,156,40,0,196
PLEVNA,CL,523,49,18,0,67,125,53,0,178
MÂNĂSTIREA,CL,2871,171,21,0,192,685,71,0,756
COCONI,CL,695,172,29,0,201,365,80,10,455
SULTANA,CL,783,43,20,0,63,245,72,0,317
MITRENI,CL,1176,61,3,0,64,266,22,18,306
"VALEA ROŞIE",CL,1839,137,23,16,176,446,69,43,558
CLĂTEŞTI,CL,415,11,7,0,18,56,17,0,73
MODELU,CL,6442,229,14,0,243,895,73,10,978
TONEA,CL,1608,39,5,0,44,219,16,0,235
NANA,CL,1847,118,14,0,132,481,66,8,555
"NICOLAE BĂLCESCU",CL,1008,63,18,0,81,196,60,0,256
"FÎNTÎNA DOAMNEI",CL,220,12,9,0,21,67,40,0,107
PERIŞORU,CL,3640,86,11,1,98,450,32,3,485
"TUDOR VLADIMIRESCU",CL,593,15,4,0,19,67,10,0,77
PLĂTĂREŞTI,CL,1102,71,32,0,103,214,70,0,284
DOROBANŢU,CL,771,41,28,0,69,193,92,0,285
"PODU PITARULUI",CL,799,38,18,0,56,158,55,0,213
RADOVANU,CL,2925,80,15,0,95,519,93,0,612
"VALEA POPII",CL,469,82,13,32,127,195,38,39,272
ROSEŢI,CL,4974,163,10,0,173,627,36,0,663
SĂRULEŞTI-GARĂ,CL,1157,95,17,0,112,286,55,0,341
SĂNDULIŢA,CL,475,5,7,0,12,125,41,0,166
SĂRULEŞTI,CL,338,5,5,0,10,43,23,0,66
SOLACOLU,CL,217,7,8,0,15,27,17,0,44
SOHATU,CL,1303,54,26,0,80,250,102,0,352
PROGRESU,CL,789,49,11,0,60,247,75,0,322
SPANŢOV,CL,834,67,6,15,88,377,47,15,439
"CETATEA VECHE",CL,714,103,8,2,113,319,28,2,349
STANCEA,CL,2087,211,16,0,227,940,85,0,1025
ŞOLDANU,CL,1767,91,36,0,127,422,109,36,567
NEGOEŞTI,CL,823,36,7,10,53,127,45,10,182
"ŞTEFAN CEL MARE",CL,2662,76,9,0,85,496,42,8,546
"ŞTEFAN VODĂ",CL,1897,37,9,0,46,199,32,0,231
"TĂMĂDĂU MARE",CL,1221,41,10,0,51,163,41,0,204
PLUMBUITA,CL,729,15,14,0,29,86,31,0,117
ULMENI,CL,4004,248,33,0,281,923,135,0,1058
ULMU,CL,670,23,4,0,27,76,23,0,99
FĂUREI,CL,344,14,8,0,22,26,22,0,48
ZIMBRU,CL,98,14,9,0,23,21,25,0,46
UNIREA,CL,2304,96,11,0,107,327,38,21,386
"VALEA ARGOVEI",CL,1372,34,18,0,52,152,55,0,207
SILIŞTEA,CL,549,29,11,0,40,114,49,0,163
VASILAŢI,CL,2731,71,50,0,121,514,179,23,716
NUCI,CL,291,18,10,0,28,88,34,1,123
POPEŞTI,CL,278,14,12,0,26,40,30,0,70
VÎLCELELE,CL,932,58,15,66,139,219,43,127,389
FLOROAICA,CL,490,11,9,30,50,67,34,38,139
"VLAD ŢEPEŞ",CL,1257,43,12,0,55,225,43,0,268
"MIHAI VITEAZU",CL,425,14,10,0,24,65,45,0,110
REŞIŢA,CS,69996,3761,229,23,4013,9621,574,33,10228
CÎLNIC,CS,1344,44,3,0,47,183,6,0,189
CUPTOARE,CS,286,19,2,0,21,66,7,0,73
DOMAN,CS,600,11,3,0,14,54,10,0,64
SECU,CS,398,20,2,0,22,53,3,0,56
ŢEROVA,CS,455,22,3,0,25,90,5,0,95
MONIOM,CS,274,32,5,0,37,95,10,1,106
CARANSEBEŞ,CS,24562,1472,201,25,1698,4224,425,49,4698
JUPA,CS,473,29,7,0,36,130,22,0,152
ANINA,CS,7489,378,49,1,428,1027,90,2,1119
"BĂILE HERCULANE",CS,3772,209,556,0,765,589,874,0,1463
PECINIŞCA,CS,505,30,3,0,33,91,11,0,102
BOCŞA,CS,15144,1112,52,0,1164,2923,141,3,3067
"MOLDOVA NOUĂ",CS,9202,671,59,24,754,1804,159,32,1995
MĂCEŞTI,CS,459,33,2,0,35,165,6,0,171
"MOLDOVA VECHE",CS,1284,109,9,0,118,310,20,0,330
MOLDOVIŢA,CS,180,16,10,0,26,97,26,0,123
ORAVIŢA,CS,8867,443,78,1,522,1357,176,1,1534
AGADICI,CS,156,20,16,0,36,60,23,0,83
"BRĂDIŞORU DE JOS",CS,459,15,8,0,23,71,17,0,88
BROŞTENI,CS,525,51,10,0,61,158,19,0,177
"CICLOVA MONTANĂ",CS,439,36,7,0,43,93,16,0,109
RĂCHITOVA,CS,309,24,11,0,35,71,20,0,91
MARILA,CS,27,5,10,0,15,12,23,0,35
"OŢELU ROŞU",CS,10075,691,56,0,747,1886,142,0,2028
MAL,CS,297,40,11,0,51,161,18,0,179
"SUB MARGINE",CS,145,5,1,0,6,43,4,0,47
ARMENIŞ,CS,1100,58,2,0,60,335,32,0,367
FENEŞ,CS,462,35,10,0,45,117,29,0,146
"SAT BĂTRÎN",CS,301,24,2,0,26,105,11,0,116
BĂNIA,CS,950,79,6,0,85,368,17,0,385
GÎRBOVĂŢ,CS,470,26,4,0,30,137,19,0,156
BĂUŢAR,CS,1336,83,13,0,96,522,36,3,561
BUCOVA,CS,752,17,7,0,24,269,20,0,289
BERLIŞTE,CS,302,31,6,0,37,73,14,0,87
IAM,CS,301,5,2,0,7,62,10,0,72
MILCOVENI,CS,195,19,4,0,23,44,17,0,61
"RUSOVA NOUĂ",CS,162,12,11,0,23,38,20,0,58
BERZASCA,CS,1165,332,19,1,352,811,50,1,862
BIGĂR,CS,182,41,5,0,46,121,7,0,128
LIUBCOVA,CS,904,332,2,0,334,693,9,0,702
BERZOVIA,CS,1746,69,8,0,77,279,31,0,310
FIZEŞ,CS,623,29,6,0,35,90,13,0,103
GHERTENIŞ,CS,789,27,7,0,34,141,22,0,163
BOLVAŞNIŢA,CS,387,16,3,0,19,135,10,0,145
VÎRCIOROVA,CS,757,29,0,0,29,259,11,0,270
BOZOVICI,CS,1812,156,13,0,169,603,83,1,687
PRILIPEŢ,CS,592,52,9,0,61,256,23,0,279
APADIA,CS,198,6,3,0,9,31,10,0,41
BREBU,CS,567,18,2,0,20,144,49,0,193
VALEADENI,CS,200,13,8,0,21,58,41,0,99
GĂRÎNA,CS,269,5,17,0,22,13,27,0,40
POIANA,CS,524,40,0,0,40,300,23,10,333
BUCHIN,CS,748,55,5,0,60,210,26,0,236
"VALEA TIMIŞULUI",CS,428,24,0,0,24,147,18,0,165
BUCOŞNIŢA,CS,611,18,4,0,22,234,15,0,249
PETROŞNIŢA,CS,799,60,6,0,66,348,32,0,380
GOLEŢ,CS,446,47,2,0,49,240,18,0,258
VĂLIŞOARA,CS,529,27,11,0,38,171,27,0,198
CARAŞOVA,CS,1919,41,3,0,44,221,12,0,233
IABALCEA,CS,162,9,1,0,10,50,9,0,59
NERMED,CS,439,11,0,0,11,122,10,0,132
CĂRBUNARI,CS,539,49,8,0,57,281,37,9,327
ŞTINĂPARI,CS,286,43,14,0,57,139,29,0,168
"CICLOVA ROMÂNĂ",CS,940,51,13,0,64,196,37,0,233
ILIDIA,CS,285,9,5,0,14,75,45,0,120
SOCOLARI,CS,116,19,5,0,24,50,33,0,83
CIUCHICI,CS,425,55,9,0,64,141,24,0,165
MACOVIŞTE,CS,79,17,10,0,27,40,25,0,65
PETRILOVA,CS,120,22,11,0,33,36,25,0,61
NICOLINŢ,CS,249,28,7,0,35,68,17,0,85
JITIN,CS,102,14,0,0,14,48,10,0,58
CIUDANOVIŢA,CS,412,38,5,0,43,96,18,0,114
MACIOVA,CS,392,25,5,0,30,96,16,0,112
ZĂGUJENI,CS,452,18,2,0,20,125,17,2,144
"MÎTNICU MARE",CS,310,18,8,0,26,92,19,0,111
PEŞTERE,CS,181,5,5,0,10,54,25,0,79
PRISACA,CS,357,18,5,0,23,96,12,4,112
CĂVĂRAN,CS,587,21,5,0,26,165,18,0,183
COPĂCELE,CS,314,16,3,0,19,99,23,8,130
OHABA-MÎTNIC,CS,232,40,14,0,54,134,48,6,188
RUGINOSU,CS,98,6,3,0,9,37,6,0,43
ZORILE,CS,317,11,2,0,13,95,17,0,112
CORNEA,CS,619,17,2,0,19,98,10,0,108
CRUŞOVĂŢ,CS,370,30,6,0,36,112,19,0,131
CUPTOARE,CS,503,38,0,0,38,256,32,0,288
CORNEREVA,CS,466,24,4,10,38,132,14,14,160
BOGÎLTIN,CS,334,9,3,0,12,80,15,0,95
DOBRAIA,CS,64,7,2,0,9,24,6,0,30
DOLINA,CS,648,21,3,1,25,232,13,1,246
GRUNI,CS,786,29,1,0,30,224,5,8,237
INELEŢ,CS,84,7,2,0,9,22,3,0,25
"SFÎNTA ELENA",CS,451,52,3,0,55,170,7,1,178
CORONINI,CS,1147,306,18,0,324,576,36,9,621
DALBOŞEŢ,CS,847,57,5,0,62,237,28,4,269
"ŞOPOTU VECHI",CS,526,49,7,0,56,187,18,0,205
DOCLIN,CS,425,24,5,0,29,94,19,0,113
BINIŞ,CS,653,39,3,0,42,128,11,0,139
TIROL,CS,542,6,6,0,12,65,11,0,76
CALINA,CS,79,5,7,0,12,22,11,0,33
DOGNECEA,CS,1544,126,14,0,140,374,37,0,411
DOMAŞNEA,CS,801,33,9,0,42,267,43,0,310
CĂNICEA,CS,307,7,2,0,9,66,8,0,74
"EFTIMIE MURGU",CS,1330,157,10,0,167,516,24,0,540
EZERIŞ,CS,540,6,1,0,7,56,15,0,71
SOCENI,CS,540,8,2,0,10,52,17,0,69
FÎRLIUG,CS,647,26,1,0,27,140,39,0,179
DEZEŞTI,CS,149,14,5,0,19,83,39,0,122
DULEU,CS,163,10,10,0,20,84,26,0,110
SCĂIUŞ,CS,236,17,3,0,20,65,13,0,78
"VALEA MARE",CS,93,6,3,0,9,42,16,0,58
REMETEA-POGĂNICI,CS,172,9,2,0,11,32,9,0,41
COMORÎŞTE,CS,464,34,5,0,39,189,20,0,209
"SURDUCU MARE",CS,364,16,7,0,23,89,21,0,110
FOROTIC,CS,566,26,7,0,33,141,17,0,158
GÎRNIC,CS,397,6,0,0,6,54,11,2,67
"PADINA MATEI",CS,739,56,2,0,58,273,18,10,301
GLIMBOCA,CS,1544,150,10,0,160,476,18,41,535
GORUIA,CS,312,22,1,0,23,78,14,0,92
GIURGIOVA,CS,128,9,6,0,15,44,29,0,73
GÎRLIŞTE,CS,216,14,16,0,30,42,33,0,75
GRĂDINARI,CS,872,44,7,0,51,155,31,1,187
GREONI,CS,794,32,5,0,37,82,11,0,93
IABLANIŢA,CS,613,47,5,0,52,275,26,0,301
"GLOBU CRAIOVEI",CS,546,54,13,0,67,225,29,0,254
PETNIC,CS,618,41,8,0,49,255,22,0,277
LĂPUŞNICEL,CS,397,40,26,0,66,146,66,1,213
PÎRVOVA,CS,355,69,14,0,83,242,44,0,286
ŞUMIŢA,CS,70,27,0,0,27,51,5,0,56
"LĂPUŞNICU MARE",CS,902,86,7,0,93,304,25,0,329
MOCERIŞ,CS,471,29,6,0,35,163,24,0,187
LUNCAVIŢA,CS,671,13,1,0,14,91,4,0,95
VERENDIN,CS,1332,15,0,0,15,132,8,0,140
LUPAC,CS,743,17,1,0,18,82,8,0,90
CLOCOTICI,CS,705,24,7,0,31,86,16,0,102
RAFNIC,CS,437,16,1,0,17,43,1,0,44
VODNIC,CS,344,4,4,0,8,20,5,0,25
MARGA,CS,908,100,5,0,105,365,27,13,405
MĂURENI,CS,1501,63,1,0,64,231,21,0,252
ŞOŞDEA,CS,684,29,4,0,33,141,18,0,159
GLOBURĂU,CS,196,8,2,0,10,34,6,0,40
PLUGOVA,CS,670,25,4,0,29,120,12,0,132
"VALEA BOLVAŞNIŢA",CS,560,50,13,0,63,167,36,0,203
MEHADIA,CS,1991,79,9,0,88,245,26,0,271
MEHADICA,CS,584,32,3,0,35,247,23,0,270
LESCOVIŢA,CS,212,21,6,0,27,76,34,0,110
NAIDĂŞ,CS,664,42,6,0,48,134,19,7,160
OBREJA,CS,1482,106,8,0,114,440,31,0,471
CIUTA,CS,299,35,7,0,42,154,22,0,176
IAZ,CS,592,70,10,0,80,225,45,0,270
VAR,CS,325,26,10,0,36,146,58,5,209
"OCNA DE FIER",CS,591,47,7,0,54,108,9,0,117
PĂLTINIŞ,CS,570,46,2,0,48,159,20,0,179
OHABIŢA,CS,65,3,5,0,8,26,13,0,39
CORNUŢEL,CS,846,32,7,0,39,162,25,0,187
DELINEŞTI,CS,353,11,6,0,17,85,25,0,110
RUGI,CS,221,6,1,0,7,43,12,0,55
POJEJENA,CS,925,69,6,0,75,323,36,0,359
BELOBREŞCA,CS,498,48,2,0,50,142,34,0,176
RADIMNA,CS,444,54,3,0,57,174,9,0,183
DIVICI,CS,215,21,12,0,33,90,23,0,113
ŞUŞCA,CS,377,85,6,0,91,177,17,0,194
"BORLOVENII VECHI",CS,374,59,10,0,69,190,24,0,214
"BORLOVENII NOI",CS,340,25,6,0,31,146,16,7,169
PĂTAŞ,CS,439,30,2,0,32,150,14,5,169
PUTNA,CS,135,16,8,0,24,63,11,0,74
PRIGOR,CS,750,45,10,0,55,209,21,0,230
RAMNA,CS,976,37,3,0,40,276,30,0,306
VALEAPAI,CS,336,28,7,0,35,81,41,0,122
RĂCĂŞDIA,CS,1340,59,5,0,64,215,24,0,239
VRĂNIUŢ,CS,297,10,8,0,18,40,23,0,63
"RUSCA MONTANĂ",CS,1326,40,2,0,42,337,19,1,357
RUŞCHIŢA,CS,283,18,2,0,20,54,7,0,61
TINCOVA,CS,364,15,6,0,21,71,22,0,93
SACU,CS,662,13,4,0,17,139,19,0,158
"SĂLBĂGELU NOU",CS,205,26,4,0,30,104,18,2,124
BOGODINŢ,CS,83,8,18,0,26,39,37,0,76
